pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid,cid,cycle,name
C00027342,,D000000069,International Brotherhood of Electrical Workers,20000,20000,0,2024-05-21 00:00:00 +0000,1,x," ",0,D000000069,N00035451,2024,adams-alma
C00028860,,D000000083,American Federation of Teachers,10000,10000,0,2024-05-21 00:00:00 +0000,2," "," ",0,"          ",N00035451,2024,adams-alma
C00194746,,"          ",Blue Cross & Blue Shield Assn,10000,10000,0,2024-05-21 00:00:00 +0000,2," "," ",0,"          ",N00035451,2024,adams-alma
C00284885,,D000000419,Home Depot,10000,10000,0,2024-05-21 00:00:00 +0000,2,x," ",0,D000000419,N00035451,2024,adams-alma
C00386524,,D000072145,Truist Financial,10000,10000,0,2024-05-21 00:00:00 +0000,2," "," ",0,"          ",N00035451,2024,adams-alma
C90011172,,D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00035451,2024,adams-alma
C00007542,,D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00035451,2024,adams-alma
C00064766,,D000000081,United Parcel Service,7500,7500,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00035451,2024,adams-alma
"         ",,D000107064,A Preferred Women's Health Center,7125,0,7125,2024-05-21 00:00:00 +0000,9," "," ",0,"          ",N00035451,2024,adams-alma
C00083535,,D000000477,Duke Energy,6350,6000,350,2024-05-21 00:00:00 +0000,10,x," ",0,D000000477,N00035451,2024,adams-alma
C00426775,,D000000672,Charter Communications,6000,6000,0,2024-05-21 00:00:00 +0000,11," "," ",0,"          ",N00035451,2024,adams-alma
C00010868,,D000000682,American Council of Engineering Cos,5500,5500,0,2024-05-21 00:00:00 +0000,12," "," ",0,"          ",N00035451,2024,adams-alma
C00358903,,D000067129,American Assn of Nurse Practitioners,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00110338,,D000000219,American Crystal Sugar,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00010322,,D000000143,American Postal Workers Union,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00001016,,D000000073,Carpenters & Joiners Union,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00033589,,D000000457,Corning Inc,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00096156,,D000000334,Honeywell International,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00251751,,D000027296,Lowe's Companies,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00002469,,D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00023580,,D000000084,National Assn of Letter Carriers,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00130773,,D000000755,National Multifamily Housing Council,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00002972,,D000000153,National Rural Electric Cooperative Assn,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00216754,,D000022829,North Carolina Farm Bureau,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00012476,,D000000120,Plumbers/Pipefitters Union,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00501429,,"          ",TD Bank USA,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00431361,,D000029443,TIAA,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00365122,,D000029689,Visa Inc,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
,,,,,,,,,,,,,N00035451,2024,adams-alma
"         ",,D000107567,Eo Solutions,26400,0,26400,2024-05-21 00:00:00 +0000,1," "," ",0,"          ",N00003028,2024,aderholt-robert-b
C00762427,,D000075334,Applied Research Assoc,25000,25000,0,2024-05-21 00:00:00 +0000,2,x," ",0,D000075334,N00003028,2024,aderholt-robert-b
C00100321,,D000071910,L3Harris Technologies,20000,20000,0,2024-05-21 00:00:00 +0000,3,x," ",0,D000071910,N00003028,2024,aderholt-robert-b
"         ",,D000000109,Blue Cross/Blue Shield,18500,18500,0,2024-05-21 00:00:00 +0000,4," "," ",0,"          ",N00003028,2024,aderholt-robert-b
"         ",,D000086915,Trideum Corp,18200,0,18200,2024-05-21 00:00:00 +0000,5," "," ",0,"          ",N00003028,2024,aderholt-robert-b
C00303024,,D000000104,Lockheed Martin,17000,17000,0,2024-05-21 00:00:00 +0000,6,x," ",0,D000000104,N00003028,2024,aderholt-robert-b
"         ",,D000021923,"Collazo Enterprises                     ",16100,0,16100,2024-05-21 00:00:00 +0000,7," "," ",0,"          ",N00003028,2024,aderholt-robert-b
C00088591,,D000000170,Northrop Grumman,16000,16000,0,2024-05-21 00:00:00 +0000,8,x," ",0,D000000170,N00003028,2024,aderholt-robert-b
C00077305,,"          ",Alabama Power,15000,15000,0,2024-05-21 00:00:00 +0000,9," "," ",0,"          ",N00003028,2024,aderholt-robert-b
C00000729,,D000000105,American Dental Assn,15000,15000,0,2024-05-21 00:00:00 +0000,9,x," ",0,D000000105,N00003028,2024,aderholt-robert-b
C00358440,,D000021862,Balch & Bingham,15000,15000,0,2024-05-21 00:00:00 +0000,9," ",x,0,D000021862,N00003028,2024,aderholt-robert-b
C00000901,,D000000086,National Assn of Home Builders,15000,15000,0,2024-05-21 00:00:00 +0000,9,x," ",0,D000000086,N00003028,2024,aderholt-robert-b
"         ",,"          ",Home Instead Tuscaloosa,13200,0,13200,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00003028,2024,aderholt-robert-b
C00546234,,D000000369,Leidos Inc,12500,12500,0,2024-05-21 00:00:00 +0000,14,x," ",0,D000000369,N00003028,2024,aderholt-robert-b
C00161414,,"          ",Protective Life Corp,12500,12500,0,2024-05-21 00:00:00 +0000,14," "," ",0,"          ",N00003028,2024,aderholt-robert-b
C00096156,,D000000334,Honeywell International,11100,9500,1600,2024-05-21 00:00:00 +0000,16,x," ",0,D000000334,N00003028,2024,aderholt-robert-b
"         ",,D000051141,Full Sail,10020,0,10020,2024-05-21 00:00:00 +0000,17," "," ",0,"          ",N00003028,2024,aderholt-robert-b
"         ",,D000091596,Concordia Technologies,10000,0,10000,2024-05-21 00:00:00 +0000,18," "," ",0,"          ",N00003028,2024,aderholt-robert-b
C00211318,,D000000131,Deloitte LLP,10000,10000,0,2024-05-21 00:00:00 +0000,18," "," ",0,"          ",N00003028,2024,aderholt-robert-b
"         ",,D000083751,Ierus Technologies,10000,0,10000,2024-05-21 00:00:00 +0000,18," "," ",0,"          ",N00003028,2024,aderholt-robert-b
C00830901,,D000082784,Ignite Fueling Innovation,10000,0,10000,2024-05-21 00:00:00 +0000,18," "," ",0,"          ",N00003028,2024,aderholt-robert-b
C00432252,,D000022216,Regions Financial,10000,10000,0,2024-05-21 00:00:00 +0000,18," "," ",0,"          ",N00003028,2024,aderholt-robert-b
C00097568,,D000072615,RTX Corp,10000,10000,0,2024-05-21 00:00:00 +0000,18,x," ",0,D000072615,N00003028,2024,aderholt-robert-b
"         ",,"          ",Square Foot Companies,10000,0,10000,2024-05-21 00:00:00 +0000,18," "," ",0,"          ",N00003028,2024,aderholt-robert-b
C00116020,,D000029725,Vulcan Materials,10000,10000,0,2024-05-21 00:00:00 +0000,18," "," ",0,"          ",N00003028,2024,aderholt-robert-b
,,,,,,,,,,,,,N00003028,2024,aderholt-robert-b
C00797670,,D000046963,American Israel Public Affairs Cmte,86700,10000,76700,2024-05-21 00:00:00 +0000,1," "," ",0,"          ",N00033997,2024,aguilar-pete
C00215285,,D000000317,"General Atomics                         ",55600,15000,40600,2024-05-21 00:00:00 +0000,2,x," ",0,D000000317,N00033997,2024,aguilar-pete
"         ",,D000057474,Telacu,38300,0,38300,2024-05-21 00:00:00 +0000,3,x," ",0,D000030316,N00033997,2024,aguilar-pete
"         ",,D000109358,Howard Industrial Partners,33200,0,33200,2024-05-21 00:00:00 +0000,4," "," ",0,"          ",N00033997,2024,aguilar-pete
"         ",,D000000109,Blue Cross/Blue Shield,29235,29000,235,2024-05-21 00:00:00 +0000,5,x," ",0,D000000109,N00033997,2024,aguilar-pete
C00441949,,"          ",JStreetPAC,28500,3500,25000,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00033997,2024,aguilar-pete
C00388827,,D000066716,Rock Holdings,28400,15000,13400,2024-05-21 00:00:00 +0000,7," "," ",0,"          ",N00033997,2024,aguilar-pete
C70005798,,D000110775,America's Credit Unions,28300,25000,3300,2024-05-21 00:00:00 +0000,8,x," ",0,D000000136,N00033997,2024,aguilar-pete
"         ",,D000050673,Esri,27450,0,27450,2024-05-21 00:00:00 +0000,9,x," ",0,D000050673,N00033997,2024,aguilar-pete
C00359539,,D000021821,American Academy of Dermatology Assn,27000,27000,0,2024-05-21 00:00:00 +0000,10,x," ",0,D000021821,N00033997,2024,aguilar-pete
C00195388,,D000021746,"Buchanan, Ingersoll & Rooney",26615,0,26615,2024-05-21 00:00:00 +0000,11," ",x,0,D000021746,N00033997,2024,aguilar-pete
C00105981,,D000000262,Investment Co Institute,25000,25000,0,2024-05-21 00:00:00 +0000,12,x," ",0,D000000262,N00033997,2024,aguilar-pete
"         ",,D000043476,Medley Partners,23200,0,23200,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00033997,2024,aguilar-pete
"         ",,D000049747,Cordoba Corp,22500,0,22500,2024-05-21 00:00:00 +0000,14," "," ",0,"          ",N00033997,2024,aguilar-pete
C00211318,,D000000131,Deloitte LLP,22500,22500,0,2024-05-21 00:00:00 +0000,14,x,x,0,D000000131,N00033997,2024,aguilar-pete
C00007922,,D000000074,Laborers Union,22500,22500,0,2024-05-21 00:00:00 +0000,14,x," ",0,D000000074,N00033997,2024,aguilar-pete
"         ",,D000067823,Alphabet Inc,21614,15000,6614,2024-05-21 00:00:00 +0000,17," "," ",0,"          ",N00033997,2024,aguilar-pete
C00064766,,D000000081,United Parcel Service,20387,20000,387,2024-05-21 00:00:00 +0000,18,x," ",0,D000000081,N00033997,2024,aguilar-pete
C00029504,,D000000139,Operating Engineers Union,20010,20000,10,2024-05-21 00:00:00 +0000,19," "," ",0,"          ",N00033997,2024,aguilar-pete
C90011172,,D000000061,American Federation of State/Cnty/Munic Employees,20000,20000,0,2024-05-21 00:00:00 +0000,20,x," ",0,D000000061,N00033997,2024,aguilar-pete
C00003632,,D000000302,Bricklayers Union,20000,20000,0,2024-05-21 00:00:00 +0000,20,x," ",0,D000000302,N00033997,2024,aguilar-pete
C00096156,,D000000334,Honeywell International,20000,20000,0,2024-05-21 00:00:00 +0000,20,x," ",0,D000000334,N00033997,2024,aguilar-pete
C00430256,,D000027692,Molina Healthcare,20000,20000,0,2024-05-21 00:00:00 +0000,20,x," ",0,D000027692,N00033997,2024,aguilar-pete
C00023580,,D000000084,National Assn of Letter Carriers,20000,20000,0,2024-05-21 00:00:00 +0000,20,x," ",0,D000000084,N00033997,2024,aguilar-pete
C00002972,,D000000153,National Rural Electric Cooperative Assn,20000,20000,0,2024-05-21 00:00:00 +0000,20,x," ",0,D000000153,N00033997,2024,aguilar-pete
C00008268,,D000000178,Transport Workers Union,20000,20000,0,2024-05-21 00:00:00 +0000,20,x," ",0,D000000178,N00033997,2024,aguilar-pete
,,,,,,,,,,,,,N00033997,2024,aguilar-pete
"         ",,"          ",Plz Aeroscience,18200,0,18200,2024-05-21 00:00:00 +0000,1," "," ",0,"          ",N00049617,2024,alford-mark
C00450692,,D000046017,Poet LLC,15000,10000,5000,2024-05-21 00:00:00 +0000,2,x," ",0,D000046017,N00049617,2024,alford-mark
"         ",,D000107756,Ward Enterprises (Kansas),13200,0,13200,2024-05-21 00:00:00 +0000,3," "," ",0,"          ",N00049617,2024,alford-mark
C00110338,,D000000219,American Crystal Sugar,12500,12500,0,2024-05-21 00:00:00 +0000,4," "," ",0,"          ",N00049617,2024,alford-mark
C00467431,,D000070192,Eye of the Tiger PAC,10000,10000,0,2024-05-21 00:00:00 +0000,5," "," ",0,"          ",N00049617,2024,alford-mark
"         ",,"          ",Lowe Family Patnership Llc,10000,0,10000,2024-05-21 00:00:00 +0000,5," "," ",0,"          ",N00049617,2024,alford-mark
C00109991,,D000027911,Small Business Investor Alliance,10000,10000,0,2024-05-21 00:00:00 +0000,5," "," ",0,"          ",N00049617,2024,alford-mark
"         ",,D000111250,Aspire 65,9900,0,9900,2024-05-21 00:00:00 +0000,8," "," ",0,"          ",N00049617,2024,alford-mark
"         ",,D000109388,Max Motors,9900,0,9900,2024-05-21 00:00:00 +0000,8," "," ",0,"          ",N00049617,2024,alford-mark
C00502807,,D000074087,US Peanut PAC,7900,7900,0,2024-05-21 00:00:00 +0000,10," "," ",0,"          ",N00049617,2024,alford-mark
C00308478,,D000029615,USA Rice Federation,7600,7600,0,2024-05-21 00:00:00 +0000,11," "," ",0,"          ",N00049617,2024,alford-mark
C00142711,,D000000100,Boeing Co,7500,7500,0,2024-05-21 00:00:00 +0000,12," "," ",0,"          ",N00049617,2024,alford-mark
C00475665,,D000045973,Growth Energy,7500,7500,0,2024-05-21 00:00:00 +0000,12," "," ",0,"          ",N00049617,2024,alford-mark
C00076182,,D000027897,National Turkey Federation,7500,7500,0,2024-05-21 00:00:00 +0000,12," "," ",0,"          ",N00049617,2024,alford-mark
"         ",,"          ",Nissan Toyota Dallas,7500,0,7500,2024-05-21 00:00:00 +0000,12," "," ",0,"          ",N00049617,2024,alford-mark
"         ",,"          ","Focus Workforce                                   ",6600,0,6600,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00049617,2024,alford-mark
"         ",,"          ",Gail's Powersports,6600,0,6600,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00049617,2024,alford-mark
"         ",,D000084516,Heartland Financial USA,6600,0,6600,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00049617,2024,alford-mark
"         ",,"          ",J&S Farms,6600,0,6600,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00049617,2024,alford-mark
"         ",,"          ",Kansas & Missour,6600,0,6600,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00049617,2024,alford-mark
"         ",,D000000685,Re/Max Realty,6600,0,6600,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00049617,2024,alford-mark
"         ",,"          ",RMJK Enterprises,6600,0,6600,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00049617,2024,alford-mark
"         ",,D000076590,Veterans United Home Loans,6600,0,6600,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00049617,2024,alford-mark
,,,,,,,,,,,,,N00049617,2024,alford-mark
C00797670,,D000046963,American Israel Public Affairs Cmte,15500,5000,10500,2024-05-21 00:00:00 +0000,1," "," ",0,"          ",N00033720,2024,allen-richard-w
"         ",,D000076769,Pollard Lumber,15200,0,15200,2024-05-21 00:00:00 +0000,2," "," ",0,"          ",N00033720,2024,allen-richard-w
"         ",,D000031179,Yancey Brothers,13200,0,13200,2024-05-21 00:00:00 +0000,3," "," ",0,"          ",N00033720,2024,allen-richard-w
C00284885,,D000000419,Home Depot,12500,12500,0,2024-05-21 00:00:00 +0000,4,x," ",0,D000000419,N00033720,2024,allen-richard-w
C00016683,,D000000138,Pfizer Inc,10500,10500,0,2024-05-21 00:00:00 +0000,5,x," ",0,D000000138,N00033720,2024,allen-richard-w
C00034157,,D000000126,AFLAC Inc,10000,10000,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00033720,2024,allen-richard-w
C00236489,,D000000186,Koch Industries,10000,10000,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00033720,2024,allen-richard-w
C00428052,,D000027353,Majority Cmte PAC,10000,10000,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00033720,2024,allen-richard-w
C00034272,,D000000568,National Chicken Council,10000,10000,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00033720,2024,allen-richard-w
C00144774,,D000000168,"Southern Co                             ",10000,10000,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00033720,2024,allen-richard-w
C00012468,,D000000212,Coca-Cola Co,8000,6000,2000,2024-05-21 00:00:00 +0000,11," "," ",0,"          ",N00033720,2024,allen-richard-w
C00656868,,D000069746,Chemours Co,7500,5000,2500,2024-05-21 00:00:00 +0000,12," "," ",0,"          ",N00033720,2024,allen-richard-w
C00186288,,D000000079,Verizon Communications,7500,7500,0,2024-05-21 00:00:00 +0000,12," "," ",0,"          ",N00033720,2024,allen-richard-w
C00248716,,D000000461,Comcast Corp,7000,5000,2000,2024-05-21 00:00:00 +0000,14," "," ",0,"          ",N00033720,2024,allen-richard-w
"         ",,D000095585,Summit Ridge Energy,7000,0,7000,2024-05-21 00:00:00 +0000,14," "," ",0,"          ",N00033720,2024,allen-richard-w
C00361758,,"          ",T-Mobile USA,7000,7000,0,2024-05-21 00:00:00 +0000,14," "," ",0,"          ",N00033720,2024,allen-richard-w
"         ",,D000044899,Hillwood Development,6600,0,6600,2024-05-21 00:00:00 +0000,17," "," ",0,"          ",N00033720,2024,allen-richard-w
"         ",,"          ",Macuch Steel Products,6600,0,6600,2024-05-21 00:00:00 +0000,17," "," ",0,"          ",N00033720,2024,allen-richard-w
"         ",,"          ",Milton Ruben Auto Group,6600,0,6600,2024-05-21 00:00:00 +0000,17," "," ",0,"          ",N00033720,2024,allen-richard-w
"         ",,"          ",Thompson Wrecking Co,6600,0,6600,2024-05-21 00:00:00 +0000,17," "," ",0,"          ",N00033720,2024,allen-richard-w
,,,,,,,,,,,,,N00033720,2024,allen-richard-w
"         ",,D000022296,"University of Texas                     ",108023,0,108023,2024-05-21 00:00:00 +0000,1," "," ",0,"          ",N00040989,2024,allred-colin
"         ",,D000045746,University of Texas/Southwestern Medical Center,66822,0,66822,2024-05-21 00:00:00 +0000,2," "," ",0,"          ",N00040989,2024,allred-colin
"         ",,D000031082,"Williams, Hart & Boundas",48710,0,48710,2024-05-21 00:00:00 +0000,3," "," ",0,"          ",N00040989,2024,allred-colin
"         ",,D000067697,American Airlines Group,45564,0,45564,2024-05-21 00:00:00 +0000,4," "," ",0,"          ",N00040989,2024,allred-colin
C00121368,,D000000129,Exxon Mobil,42977,0,42977,2024-05-21 00:00:00 +0000,5," "," ",0,"          ",N00040989,2024,allred-colin
"         ",,D000037695,Southern Methodist University,40827,0,40827,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00040989,2024,allred-colin
"         ",,D000000709,Susman Godfrey Llp,39065,0,39065,2024-05-21 00:00:00 +0000,7," "," ",0,"          ",N00040989,2024,allred-colin
"         ",,D000000406,"University of California                ",31370,0,31370,2024-05-21 00:00:00 +0000,8," "," ",0,"          ",N00040989,2024,allred-colin
C90014028,,D000052457,J Street,30296,2413,27883,2024-05-21 00:00:00 +0000,9," "," ",0,"          ",N00040989,2024,allred-colin
"         ",,D000036616,Perkins Coie,27344,0,27344,2024-05-21 00:00:00 +0000,10," "," ",0,"          ",N00040989,2024,allred-colin
"         ",,D000094121,Kms Ventures,27300,0,27300,2024-05-21 00:00:00 +0000,11," "," ",0,"          ",N00040989,2024,allred-colin
"         ",,D000037821,"State of Texas                          ",26767,0,26767,2024-05-21 00:00:00 +0000,12," "," ",0,"          ",N00040989,2024,allred-colin
"         ",,D000110831,Capital Factory,26625,0,26625,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00040989,2024,allred-colin
"         ",,D000034929,Jones Day,26533,0,26533,2024-05-21 00:00:00 +0000,14," "," ",0,"          ",N00040989,2024,allred-colin
"         ",,D000034464,Highfields Capital Management,26400,0,26400,2024-05-21 00:00:00 +0000,15," "," ",0,"          ",N00040989,2024,allred-colin
"         ",,D000065720,McArthurglen Group,26400,0,26400,2024-05-21 00:00:00 +0000,15," "," ",0,"          ",N00040989,2024,allred-colin
"         ",,D000030495,"Toyota Motor Corp                       ",25802,0,25802,2024-05-21 00:00:00 +0000,17," "," ",0,"          ",N00040989,2024,allred-colin
"         ",,D000022313,"Waters, Kraus & Paul",25620,0,25620,2024-05-21 00:00:00 +0000,18," "," ",0,"          ",N00040989,2024,allred-colin
C00344754,,D000000686,"Gibson, Dunn & Crutcher",24943,0,24943,2024-05-21 00:00:00 +0000,19," "," ",0,"          ",N00040989,2024,allred-colin
"         ",,D000052439,Itc Trading Co,24800,0,24800,2024-05-21 00:00:00 +0000,20," "," ",0,"          ",N00040989,2024,allred-colin
,,,,,,,,,,,,,N00040989,2024,allred-colin
C00797670,,D000046963,American Israel Public Affairs Cmte,29113,10000,19113,2024-05-21 00:00:00 +0000,1," "," ",0,"          ",N00052615,2024,amo-gabe
"         ",,"          ",Conservation Campaign,13200,0,13200,2024-05-21 00:00:00 +0000,2," "," ",0,"          ",N00052615,2024,amo-gabe
"         ",,D000086760,Cornish Assoc,11100,0,11100,2024-05-21 00:00:00 +0000,3," "," ",0,"          ",N00052615,2024,amo-gabe
C00448746,,"          ",Operating Engineers Local 57,11000,11000,0,2024-05-21 00:00:00 +0000,4," "," ",0,"          ",N00052615,2024,amo-gabe
"         ",,D000032305,Capitol City Group,10100,0,10100,2024-05-21 00:00:00 +0000,5," "," ",0,"          ",N00052615,2024,amo-gabe
C00271338,,D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00052615,2024,amo-gabe
C70003108,,D000000135,International Assn of Fire Fighters,10000,10000,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00052615,2024,amo-gabe
C00027342,,D000000069,International Brotherhood of Electrical Workers,10000,10000,0,2024-05-21 00:00:00 +0000,6,x," ",0,D000000069,N00052615,2024,amo-gabe
C00617803,,"          ",Jobs Education & Families First,10000,10000,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00052615,2024,amo-gabe
C00403592,,D000027783,Narragansett Bay PAC,10000,10000,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00052615,2024,amo-gabe
C00431601,,D000028712,Oceans PAC,10000,10000,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00052615,2024,amo-gabe
C00344234,,D000000520,PAC to the Future,10000,10000,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00052615,2024,amo-gabe
C00007542,,D000071033,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00052615,2024,amo-gabe
"         ",,D000022275,Technology Crossover Ventures,9900,0,9900,2024-05-21 00:00:00 +0000,14," "," ",0,"          ",N00052615,2024,amo-gabe
C00307249,,D000021913,"Citizens Financial Group                ",8550,0,8550,2024-05-21 00:00:00 +0000,15," "," ",0,"          ",N00052615,2024,amo-gabe
"         ",,D000032306,Capitol Counsel,8050,0,8050,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00052615,2024,amo-gabe
"         ",,D000034479,"Hinckley, Allen & Snyder",8000,0,8000,2024-05-21 00:00:00 +0000,17," "," ",0,"          ",N00052615,2024,amo-gabe
"         ",,D000084112,Bally'S Corp,7750,0,7750,2024-05-21 00:00:00 +0000,18," "," ",0,"          ",N00052615,2024,amo-gabe
"         ",,D000092030,Nugen Capital Management,7600,0,7600,2024-05-21 00:00:00 +0000,19," "," ",0,"          ",N00052615,2024,amo-gabe
C70005798,,D000110775,America's Credit Unions,7500,7500,0,2024-05-21 00:00:00 +0000,20," "," ",0,"          ",N00052615,2024,amo-gabe
C90011172,,D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2024-05-21 00:00:00 +0000,20," "," ",0,"          ",N00052615,2024,amo-gabe
,,,,,,,,,,,,,N00052615,2024,amo-gabe
C00096156,,D000000334,Honeywell International,15600,9000,6600,2024-05-21 00:00:00 +0000,1," "," ",0,"          ",N00031177,2024,amodei-mark
C00367995,,D000029049,Sierra Nevada Corp,13300,10000,3300,2024-05-21 00:00:00 +0000,2," "," ",0,"          ",N00031177,2024,amodei-mark
"         ",,D000043583,South Point Hotel & Casino,13200,0,13200,2024-05-21 00:00:00 +0000,3," "," ",0,"          ",N00031177,2024,amodei-mark
C70005798,,D000110775,America's Credit Unions,10000,10000,0,2024-05-21 00:00:00 +0000,4," "," ",0,"          ",N00031177,2024,amodei-mark
C00299321,,D000000193,MGM Resorts International,10000,10000,0,2024-05-21 00:00:00 +0000,4," "," ",0,"          ",N00031177,2024,amodei-mark
"         ",,D000021757,Berkshire Hathaway,9500,9000,500,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00031177,2024,amodei-mark
C00327593,,D000000208,Cassidy & Assoc,9500,0,9500,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00031177,2024,amodei-mark
C00097568,,D000072615,RTX Corp,8000,8000,0,2024-05-21 00:00:00 +0000,8," "," ",0,"          ",N00031177,2024,amodei-mark
C00457754,,D000046048,US Travel Assn,7500,7500,0,2024-05-21 00:00:00 +0000,9," "," ",0,"          ",N00031177,2024,amodei-mark
"         ",,D000043602,Keyes Motors,6600,0,6600,2024-05-21 00:00:00 +0000,10," "," ",0,"          ",N00031177,2024,amodei-mark
"         ",,D000076589,Meruelo Group,6600,0,6600,2024-05-21 00:00:00 +0000,10," "," ",0,"          ",N00031177,2024,amodei-mark
"         ",,D000094099,Peak Capital,6600,0,6600,2024-05-21 00:00:00 +0000,10," "," ",0,"          ",N00031177,2024,amodei-mark
"         ",,"          ",Rocky Fitness,6600,0,6600,2024-05-21 00:00:00 +0000,10," "," ",0,"          ",N00031177,2024,amodei-mark
C30002851,,D000000087,American Bankers Assn,6000,6000,0,2024-05-21 00:00:00 +0000,14," "," ",0,"          ",N00031177,2024,amodei-mark
C00142711,,D000000100,Boeing Co,6000,6000,0,2024-05-21 00:00:00 +0000,14," "," ",0,"          ",N00031177,2024,amodei-mark
C00280008,,D000021811,Akerman LLP,5000,5000,0,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00031177,2024,amodei-mark
C00587923,,"          ",American Society for Metabolic & Bariatric Surgery,5000,5000,0,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00031177,2024,amodei-mark
C00082917,,D000000197,Associated General Contractors,5000,5000,0,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00031177,2024,amodei-mark
C00563072,,D000070693,Coeur Mining,5000,5000,0,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00031177,2024,amodei-mark
C00040998,,D000000080,National Auto Dealers Assn,5000,5000,0,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00031177,2024,amodei-mark
C00848093,,D000000249,New York Life Insurance,5000,5000,0,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00031177,2024,amodei-mark
"         ",,D000094809,R&S Leasing (Nevada),5000,0,5000,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00031177,2024,amodei-mark
C00263731,,"          ",Red Rock Resorts,5000,5000,0,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00031177,2024,amodei-mark
"         ",,D000068983,Route One Investment,5000,0,5000,2024-05-21 00:00:00 +0000,16," "," ",0,"          ",N00031177,2024,amodei-mark
